object_id;title;orig_country;release_date;for_children;about;characters;category_property;place;tima;theme;classifier
419411;За деревьями;США;2019-11-21;0;['демоны','отношения в паре','путешествия','борьба со злом','одержимость','роковая ошибка','смерть','отношения мужчины и женщины','экзорцизм','мифические существа','мифы и легенды','добрые дела','изгои','ссоры','страхи','монстры','дети','спасение'];;['демоны','отношения в паре','путешествия','борьба со злом','одержимость','роковая ошибка','смерть','отношения мужчины и женщины','экзорцизм','мифические существа','мифы и легенды','добрые дела','изгои','ссоры','страхи','монстры','дети','спасение'];['лес или джунгли','Индия'];21-й век;психологический;
210525;Сиротский Бруклин;США;2019-08-30;0;['потеря близких','частные детективы или сыщики','преступления','загадки и тайны','месть','дискриминация','убийства и убийцы','предатели','бедняки','мафия','расследование','заговоры','отношения мужчины и женщины','жизнь улиц','жизнь','изгои','бандиты и гангстеры'];;['потеря близких','частные детективы или сыщики','преступления','загадки и тайны','месть','дискриминация','убийства и убийцы','предатели','бедняки','мафия','расследование','заговоры','отношения мужчины и женщины','жизнь улиц','жизнь','изгои','бандиты и гангстеры'];['США, Нью-Йорк','США'];21-й век;психологический;Зарубежные фильмы
176620;Тайная жизнь домашних животных 2;США;2019-05-24;1;['психологические расстройства','переезд','дети','преображения','кошки','дружба','собаки','кошки и собаки','животные','друзья','младенцы','побег','смена жизненных приоритетов','погони'];;['психологические расстройства','переезд','дети','преображения','кошки','дружба','собаки','кошки и собаки','животные','друзья','младенцы','побег','смена жизненных приоритетов','погони'];['большой город','США'];21-й век;['авантюрные','развлекательные'];Анимация
185387;Борьба с моей семьей;Великобритания;2019-01-28;0;['семейный конфликт','подростки','успех','отношения отца и дочери','братская любовь','отношения между тренером и подопечным','сильные женщины','драки','боевые искусства','семья','спортсмены','спорт','семейные проблемы','отношения родителей и детей','братья и сестры','отцы и дети','отношения брата и сестры','карьера','выбор','тренировки'];;['семейный конфликт','подростки','успех','отношения отца и дочери','братская любовь','отношения между тренером и подопечным','сильные женщины','драки','боевые искусства','семья','спортсмены','спорт','семейные проблемы','отношения родителей и детей','братья и сестры','отцы и дети','отношения брата и сестры','карьера','выбор','тренировки'];['Великобритания','США'];21-й век;развлекательные;Зарубежные фильмы
12678;BH90210;США;2019-08-07;0;['дружба','отношения мужчины и женщины','любовь','отцы и дети','жизнь','семья','братья и сестры','отношения мужа и жены','прошлое героя','отношения','друзья','конфликты в отношениях','отношения в паре','богачи','лучшие друзья','флешбек','безответная любовь'];;['дружба','отношения мужчины и женщины','любовь','отцы и дети','жизнь','семья','братья и сестры','отношения мужа и жены','прошлое героя','отношения','друзья','конфликты в отношениях','отношения в паре','богачи','лучшие друзья','флешбек','безответная любовь'];['США','маленький городок'];21-й век;развлекательные;Зарубежные сериалы
415622;Ржев;Россия;2019-12-05;0;['перестрелки','друзья','битвы','героизм','миссия/цель/задание','мужская дружба','Вторая мировая война','Великая Отечественная война','оружие','армия','война','дружба','риск','смерть','настоящие мужчины','храбрость','выбор'];;['перестрелки','друзья','битвы','героизм','миссия/цель/задание','мужская дружба','Вторая мировая война','Великая Отечественная война','оружие','армия','война','дружба','риск','смерть','настоящие мужчины','храбрость','выбор'];СССР;['20-й век','зима'];патриотические;
224532;Солнцестояние;США;2019-06-24;0;['кровь','борьба за выживание','спасение','потеря близких','страхи','отношения мужчины и женщины','убийства и убийцы','культы или секты','пытки и казни','преследования','поездки','отношения','жестокость','преображения','отношения в паре','жертвы'];;['кровь','борьба за выживание','спасение','потеря близких','страхи','отношения мужчины и женщины','убийства и убийцы','культы или секты','пытки и казни','преследования','поездки','отношения','жестокость','преображения','отношения в паре','жертвы'];['Швеция','деревня','сельская местность'];21-й век;психологический;Зарубежные фильмы
412023;Зов волка;Франция;2019-01-17;0;['подводная лодка','отношения','взрывы','настоящие мужчины','оружие','коллектив (команда)','разоблачение','погружения на глубину','таланты','риск','враги или вражда','муки совести','преодоление трудностей','расследование','армия','спасение','роковая ошибка','миссия/цель/задание','международные отношения','моря и океаны','борьба за выживание'];;['подводная лодка','отношения','взрывы','настоящие мужчины','оружие','коллектив (команда)','разоблачение','погружения на глубину','таланты','риск','враги или вражда','муки совести','преодоление трудностей','расследование','армия','спасение','роковая ошибка','миссия/цель/задание','международные отношения','моря и океаны','борьба за выживание'];['море или океан','Франция','транспортные средства'];21-й век;['антивоенные','развлекательные'];Зарубежные фильмы
277883;Переводчики;Франция;2019-11-23;0;['отношения сотрудников','интернациональные отношения','работа','алчность','отношения между людьми разных стран','предатели','книги','хакеры','интриги на работе','загадки и тайны','искусство','жертвы','отношения сотрудника и работодателя','творчество и творцов','писатели','обман','деньги','бизнес','шантаж'];;['отношения сотрудников','интернациональные отношения','работа','алчность','отношения между людьми разных стран','предатели','книги','хакеры','интриги на работе','загадки и тайны','искусство','жертвы','отношения сотрудника и работодателя','творчество и творцов','писатели','обман','деньги','бизнес','шантаж'];['закрытое пространство','дом','Франция','под землей'];21-й век;психологический;Зарубежные фильмы
152805;Люди в черном: Интернэшнл;США;2019-06-11;0;['борьба со злом','прошлое героя','сильные женщины','подставы','преодоление трудностей','друзья','разоблачение','напарники','миссия/цель/задание','секретные агенты','спасение','НЛО','преследования','инопланетяне','новички','настоящие мужчины','превращения','преображения','угроза всему миру','предатели'];;['борьба со злом','прошлое героя','сильные женщины','подставы','преодоление трудностей','друзья','разоблачение','напарники','миссия/цель/задание','секретные агенты','спасение','НЛО','преследования','инопланетяне','новички','настоящие мужчины','превращения','преображения','угроза всему миру','предатели'];США;21-й век;развлекательные;Зарубежные фильмы
